var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.78 0.70 0.73 0.81 0.84 0.83 0.83 0.87 0.93 0.90 0.90 0.95 0.91 0.89 0.88 0.82 0.80 0.87 0.90 0.77 0.79 0.83 0.78 0.76 
2 0.66 0.65 0.81 0.80 0.71 0.92 0.91 0.90 0.85 0.76 0.73 0.69 0.75 0.73 0.80 0.78 0.77 0.78 0.89 0.91 0.94 0.81 0.79 0.85 
3 0.92 0.86 0.91 0.84 0.82 0.85 0.83 0.81 0.83 0.79 0.86 0.90 0.89 0.86 0.97 0.89 0.94 0.99 0.94 0.84 0.74 0.59 0.65 0.88 
4 0.82 0.78 0.75 0.74 0.86 0.84 0.77 0.78 0.72 0.75 0.72 0.71 0.74 0.70 0.69 0.62 0.72 0.77 0.76 0.77 0.72 0.70 0.57 0.63 
5 0.70 0.70 0.71 0.72 0.83 0.92 0.64 0.59 0.67 0.72 0.72 0.62 0.85 0.76 0.73 0.69 0.67 0.80 0.81 0.89 0.80 0.68 0.69 0.85 
6 0.90 0.84 0.87 0.61 0.46 0.60 0.64 0.58 0.58 0.70 0.79 0.83 0.72 0.67 0.74 0.70 0.84 0.77 0.87 0.84 0.74 0.53 0.48 0.70 
7 0.73 0.69 0.69 0.69 0.67 0.65 0.65 0.76 0.84 0.84 0.81 0.85 0.90 0.87 0.86 0.81 0.81 0.72 0.70 0.69 0.68 0.67 0.67 0.74 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  635  598  625  563  501  397  337  277  245  203  319  308  360  300  278  312  277  226  215  232  261  209  160  192 
#2  274  224  166  106  241  259  199  146  112  217  234  197  172  161  258  208  148   98  119  129  109  365  348  290 
#3  270  528  248  510  491  437  374  347  251  210  228  201  144   96  113  171  175  131  107  119  240  259  168  123 
#4  195  337  455  355  304  269  494  360  374  340  280  226  164  127  218  245  202  164  105  107  121  129  156  210 
#5  161  138  228  177  108   96  509  449  383  317  257  212  155   92  217  141  169  121   97  112   85  164  195  146 
#6  239  218  162  271  394  339  275  319  259  202  167  145  208  150  151  138  102  182  125   80   68  409  711  322 
#7  240  853  792  737  691  625  565  497  435  392  342  284  230  170  110  508  589  972  913  948  888  815  736  648 
# Min value.: 0.46290511518937927
# Max value.: 0.9911920140927776
# Conf. Int.: 0.95
# Mean......: 0.77
# Median....: 0.78
# Stand. Dev: 0.10
