var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
3 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.39 0.90 1.00 
4 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.93 1.00 1.00 1.00 1.00 1.00 0.81 0.50 1.00 
5 1.00 1.00 1.00 1.00 1.00 1.00 0.84 0.82 0.90 0.89 0.87 0.77 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
6 1.00 1.00 1.00 0.43 0.14 0.71 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.40 0.14 1.00 
7 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  635  598  625  563  501  397  337  277  245  203  319  308  360  300  278  312  277  226  215  232  261  209  160  192 
#2  274  224  166  106  241  259  199  146  112  217  234  197  172  161  258  208  148   98  119  129  109  365  348  290 
#3  270  528  248  510  491  437  374  347  251  210  228  201  144   96  113  171  175  131  107  119  240  259  168  123 
#4  195  337  455  355  304  269  494  360  374  340  280  226  164  127  218  245  202  164  105  107  121  129  156  210 
#5  161  138  228  177  108   96  509  449  383  317  257  212  155   92  217  141  169  121   97  112   85  164  195  146 
#6  239  218  162  271  394  339  275  319  259  202  167  145  208  150  151  138  102  182  125   80   68  409  711  322 
#7  240  853  792  737  691  625  565  497  435  392  342  284  230  170  110  508  589  972  913  948  888  815  736  648 
# Min value.: 0.1446700507614213
# Max value.: 1.0
# Conf. Int.: 0.95
# Mean......: 0.97
# Median....: 1.00
# Stand. Dev: 0.13
