var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.92 0.90 0.87 0.85 0.86 0.85 0.84 0.92 0.89 0.88 0.87 0.91 0.90 0.89 0.87 0.86 0.80 0.77 0.68 0.76 0.67 0.66 0.51 0.47 
2 0.47 0.50 0.57 0.61 0.61 0.62 0.61 0.69 0.68 0.70 0.75 0.74 0.72 0.70 0.77 0.84 0.80 0.69 0.68 0.58 0.62 0.68 0.72 0.78 
3 0.87 0.80 0.79 0.85 0.85 0.86 0.87 0.85 0.86 0.85 0.84 0.82 0.80 0.78 0.81 0.82 0.80 0.79 0.74 0.66 0.66 0.71 0.71 0.78 
4 0.78 0.77 0.77 0.70 0.70 0.70 0.75 0.73 0.72 0.75 0.75 0.74 0.70 0.70 0.71 0.71 0.76 0.82 0.85 0.72 0.72 0.70 0.71 0.72 
5 0.70 0.66 0.65 0.64 0.64 0.56 0.56 0.62 0.70 0.71 0.70 0.70 0.70 0.70 0.66 0.66 0.64 0.69 0.70 0.65 0.52 0.44 0.43 0.42 
6 0.54 0.54 0.58 0.61 0.60 0.67 0.71 0.74 0.72 0.72 0.67 0.76 0.68 0.64 0.62 0.64 0.65 0.72 0.71 0.71 0.66 0.65 0.72 0.82 
7 0.82 0.82 0.82 0.81 0.83 0.82 0.82 0.81 0.81 0.79 0.78 0.77 0.78 0.87 0.86 0.85 0.85 0.85 0.85 0.85 0.87 0.85 0.86 0.90 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  213  166  166  314  400  396  675  610  706  657  600  541  480  417  357  286  241  196  141   93  142  106  304  770 
#2  710  253  629  627  575  512  446  384  328  269  211  154   99  162  151  132   95  116  100  104  364  285  286  226 
#3  182  366  549  526  518  398  355  317  300  235  190  164  115  140  352  296  228  154  110  159  130  113  194  171 
#4  186  141   89  895  905  536  438  378  298  282  226  176  194  401  360  299  218  168  128  100   93  211  265  230 
#5  303  648  783  833  753  601  507  445  283  230  289  348  299  230  342  289  248  183  132  104  414  915  886  814 
#6  764  729  882  835  688  475  417  357  293  235  177  142  322  373  397  345  300  244  194  145 1515 2020 1967 1893 
#7 1829 1766 1666 1608 1519 1431 1260 1035  795  687  561  527  486  417  405  375  581  453  393  405  375  346  318  260 
# Min value.: 0.4232659232659233
# Max value.: 0.9168978562421184
# Conf. Int.: 0.95
# Mean......: 0.73
# Median....: 0.72
# Stand. Dev: 0.11
