var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.81 0.80 0.78 0.72 0.89 0.99 0.88 0.86 0.93 0.92 0.94 0.92 1.00 0.84 0.81 0.80 0.73 0.78 0.78 0.75 0.72 0.65 0.59 0.72 
2 0.64 0.57 0.60 0.70 0.54 0.55 0.61 0.64 0.79 0.82 0.80 0.78 0.57 0.55 0.64 0.61 0.51 0.64 0.64 0.71 0.70 0.70 0.60 0.56 
3 0.44 0.44 0.45 0.53 0.70 0.44 0.50 0.65 0.69 0.67 0.71 0.67 0.70 0.71 0.71 0.69 0.55 0.66 0.61 0.47 0.52 0.65 0.59 0.64 
4 0.66 0.67 0.63 0.77 0.68 0.60 0.69 0.71 0.65 0.74 0.77 0.79 0.88 0.91 0.67 0.64 0.75 0.89 0.76 0.67 0.58 0.72 0.63 0.61 
5 0.53 0.73 0.69 0.49 0.55 0.52 0.54 0.62 0.65 0.84 0.82 0.87 0.90 0.60 0.62 0.71 0.74 0.57 0.57 0.74 0.74 0.73 0.71 0.70 
6 0.58 0.54 0.57 0.51 0.48 0.55 0.69 0.70 0.71 0.88 0.92 1.00 1.00 0.93 0.91 0.88 0.90 0.83 0.73 0.84 0.87 0.70 0.72 0.67 
7 0.66 0.73 0.72 0.65 0.75 0.70 0.80 0.84 0.80 0.85 0.84 0.86 0.86 0.82 0.81 0.79 0.77 0.76 0.82 0.81 0.82 0.78 0.87 0.80 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  250  196  137   91  139  162  426  370  326  281  223  164  108  548  514  454  449  353  338  272  269  218  164  181 
#2  230  175  120   80  473  402  336  285  223  166  115  102  169  207  192  227  392  354  302  247  189  148  169  235 
#3  227  171  114   91   74  486  426  366  296  231  176  134   99  131  174  122  163  138  124  354  246  196  174  229 
#4  230  179  134   99  262  356  242  204  218  156  132  180  157  102  242  204  160  192  181  128  112  129  196  173 
#5  122   88  120   76  341  359  214  183  179  132   89  111   90  221  193  153  146  291  250  195  144   88  203  168 
#6  191  191  131  128  536  478  286  226  151  190  187  133  119  294  240  186  145  120  177  116   73  162  104  248 
#7  223  193  143   90  983 1410  455  408  373  476  423  329  305  370  522  462  436  390  354  294  236  175  118  313 
# Min value.: 0.43858816081038304
# Max value.: 1.0
# Conf. Int.: 0.95
# Mean......: 0.71
# Median....: 0.71
# Stand. Dev: 0.13
