var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 0.98 0.92 1.00 0.62 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.92 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
3 0.35 0.51 0.13 0.90 1.00 0.29 0.84 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.41 1.00 1.00 1.00 1.00 
4 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.89 1.00 1.00 1.00 
5 0.97 1.00 0.64 0.22 1.00 0.43 0.73 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 1.00 1.00 1.00 1.00 1.00 
6 1.00 0.86 0.93 0.49 0.28 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
7 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  228  174  117   69   75   78  118  123  222  246  186  127   74  195  152  192  266  201  185  122  170  142  108   97 
#2  125  129  107   67  429  167  220  248  174  128   90   78  102  109  119  118   97  183  245  211  156  104   75  109 
#3  175  137   87   71   69  112  217  273  233  173  126   92   83   73   84  100   71  107   81  208  145  111  101  106 
#4  127  109  110   74   80  208  138   90  144   86   83   87  122   71   89  167  119   74  143   84   83   81  107  136 
#5  109   71  115   64  105  244  121  128   92   95   71   78   73  123   77  127   77  141  123  171  121   71  113   90 
#6   84  140   84   85  169  155  188  168  102   94  130  104   72  205  204  152  106   85  167  106   64  134   85  147 
#7   93  103  118   73  157  432  172  147  278  236  206  146  114  133  233  173  149  157  229  189  187  130   90  288 
# Min value.: 0.12643678160919541
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 0.95
# Median....: 1.00
# Stand. Dev: 0.16
