var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.84 0.90 0.88 0.86 0.92 0.92 0.88 0.86 0.93 0.92 0.92 0.92 1.00 1.00 1.00 1.00 1.00 1.00 0.80 0.77 0.72 0.69 0.79 0.81 
2 0.78 0.80 0.75 0.85 0.83 0.80 0.93 0.92 0.93 0.86 0.94 0.99 0.88 0.83 0.87 0.84 0.72 0.62 0.52 0.49 0.42 0.40 0.47 0.39 
3 0.40 0.43 0.49 0.61 0.63 0.75 0.62 0.68 0.75 0.59 0.63 0.59 0.63 0.69 0.54 0.54 0.57 0.43 0.46 0.41 0.34 0.35 0.37 0.50 
4 0.46 0.62 0.58 0.75 0.76 0.70 0.52 0.54 0.63 0.75 0.73 0.73 0.66 0.55 0.54 0.70 0.69 0.52 0.42 0.42 0.34 0.40 0.54 0.54 
5 0.74 0.60 0.56 0.62 0.77 0.74 0.77 0.70 0.68 0.75 0.77 0.72 0.61 0.62 0.64 0.55 0.62 0.77 0.61 0.55 0.47 0.38 0.48 0.42 
6 0.56 0.61 0.44 0.42 0.63 0.68 0.78 0.85 0.87 0.82 0.83 0.73 0.72 0.73 0.60 0.47 0.61 0.54 0.49 0.59 0.50 0.46 0.30 0.31 
7 0.51 0.47 0.48 0.58 0.78 0.78 0.78 0.85 0.95 0.95 0.92 0.91 0.98 0.95 0.87 0.78 0.87 0.85 0.86 0.84 0.78 0.73 0.81 0.78 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  201  246  195  151  102   85  432  350  247  222  147  154  130  156  137  133  110   84  297  259  201  175  119  115 
#2  105   96  127  145  118   83  134  175  134  150  111   91  116  144  101   85  107   84  122   94  147  106   96  212 
#3  136  123  214  173  110   89  281  179  100  131  101  140  124  114   95  120   97   87   90   79  348  299  170  152 
#4  110  106   99  174  117  102  228  155  109   84  114   69   89  100  135  115  101   77  126   85  155  109  120  127 
#5   80  272  195  162  103   73  119  210  145  126  108  108   83   93  121  126   85   70  185  141  117  109  111  121 
#6   95  116  230  162  114   88  227  156  100   93   84  104   92   74  101  151   95   76  116   88  126  139  201  162 
#7  124  101  217  186  107   88  536  216  112  206  142  210  145  118  122  170  115   79  207  127  183  133  128  210 
# Min value.: 0.29659395331037125
# Max value.: 1.0
# Conf. Int.: 0.95
# Mean......: 0.68
# Median....: 0.70
# Stand. Dev: 0.18
