var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.35 0.33 0.23 0.17 0.06 0.16 
3 0.19 0.18 0.43 1.00 1.00 1.00 0.79 0.90 1.00 0.47 1.00 0.65 0.97 1.00 0.59 0.78 0.96 0.38 0.44 0.06 0.09 0.10 0.19 0.61 
4 0.29 1.00 1.00 1.00 1.00 0.90 0.39 0.43 1.00 1.00 1.00 1.00 1.00 0.32 0.67 1.00 0.93 0.44 0.25 0.31 0.04 0.03 1.00 1.00 
5 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.86 0.53 1.00 1.00 0.74 0.55 0.30 0.17 0.41 0.06 
6 1.00 0.78 0.13 0.18 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.55 0.23 0.87 0.42 0.33 0.86 0.48 0.26 0.05 0.02 
7 0.19 0.04 0.17 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  201  246  195  151  102   85  432  350  247  222  147  154  130  156  137  133  110   84  297  259  201  175  119  115 
#2  105   96  127  145  118   83  134  175  134  150  111   91  116  144  101   85  107   84  122   94  147  106   96  212 
#3  136  123  214  173  110   89  281  179  100  131  101  140  124  114   95  120   97   87   90   79  348  299  170  152 
#4  110  106   99  174  117  102  228  155  109   84  114   69   89  100  135  115  101   77  126   85  155  109  120  127 
#5   80  272  195  162  103   73  119  210  145  126  108  108   83   93  121  126   85   70  185  141  117  109  111  121 
#6   95  116  230  162  114   88  227  156  100   93   84  104   92   74  101  151   95   76  116   88  126  139  201  162 
#7  124  101  217  186  107   88  536  216  112  206  142  210  145  118  122  170  115   79  207  127  183  133  128  210 
# Min value.: 0.024691358024691357
# Max value.: 1.0
# Conf. Int.: 0.95
# Mean......: 0.79
# Median....: 1.00
# Stand. Dev: 0.33
