var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
3 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
4 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
5 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.85 0.80 0.78 1.00 1.00 0.68 1.00 1.00 1.00 1.00 
6 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
7 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1 1191 1122 1062 1000  939  884  821  756  693  636  576  516  456  396  336  283  236  176  121  325  268  211  153  483 
#2  709  651  589  515  460  399  344  294  241  183  137  186  136   80  225  202  142  619  737  670  571  475  359  388 
#3  330  230  224  492  428  407  403  342  278  213  155  115   89  311  248  220  180  122  153  347  607  547  505  500 
#4  442  377  328  302  200  282  432  392  335  277  207  159  134  180  155  173  402  344  282  220  161  121  136  112 
#5  281  262  199  153  201  518  504  453  412  346  274  217  154  230  693  656  600  521  479  419  364  304  240  180 
#6  206  241  232  213  375  968  918  805  651  727  689  644  569  483  475  404  318  233  214  308  367  567  232  364 
#7 2589 2553 2483 2422 2368 2292 2248 2188 2123 2056 1995 1955 1898 1840 1776 1724 1672 1606 1544 1486 1420 1362 1299 1241 
# Min value.: 0.684964200477327
# Max value.: 1.0
# Conf. Int.: 0.95
# Mean......: 0.99
# Median....: 1.00
# Stand. Dev: 0.03
