var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.86 0.74 0.76 0.77 0.75 0.73 0.78 0.85 0.85 0.91 0.90 0.88 0.91 0.89 0.87 0.92 0.92 0.90 0.83 0.80 0.69 0.81 0.78 0.79 
2 0.77 0.76 0.80 0.73 0.78 0.60 0.56 0.65 0.73 0.71 0.76 0.74 0.75 0.71 0.81 0.69 0.80 0.67 0.57 0.40 0.43 0.42 0.44 0.57 
3 0.46 0.42 0.50 0.50 0.44 0.38 0.46 0.50 0.42 0.55 0.72 0.54 0.58 0.68 0.52 0.56 0.58 0.56 0.45 0.36 0.34 0.39 0.53 0.42 
4 0.36 0.40 0.42 0.35 0.23 0.35 0.29 0.54 0.57 0.49 0.45 0.37 0.59 0.54 0.46 0.46 0.46 0.37 0.40 0.50 0.55 0.50 0.51 0.23 
5 0.25 0.24 0.23 0.37 0.35 0.46 0.49 0.48 0.49 0.53 0.56 0.53 0.48 0.43 0.37 0.37 0.47 0.26 0.23 0.27 0.37 0.40 0.42 0.38 
6 0.26 0.30 0.36 0.27 0.27 0.24 0.33 0.39 0.39 0.47 0.39 0.38 0.48 0.42 0.57 0.46 0.32 0.24 0.16 0.10 0.16 0.29 0.42 0.41 
7 0.44 0.52 0.64 0.63 0.58 0.58 0.56 0.56 0.57 0.63 0.67 0.72 0.75 0.72 0.78 0.77 0.82 0.71 0.59 0.53 0.58 0.59 0.62 0.65 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  143  682  562  327  287  314  320  317  249  196  159  134  193  152  132  154  125  197  179  132  193  179  148  192 
#2  131   83  158  159  128  333  243  200  150  119  118   92  124  118   98  192  115  152  113  128  184  143   98  122 
#3  188  188  143  366  313  357  249  156  136  158  105  129  133  112  168  158  112  117  138  132  247  179  137  269 
#4  282  300  148  231  332  254  278  202  158  223  178  123   88   96  187  194  121  178  249  214  180  134  172  696 
#5  614  562  503  450  348  311  267  201  145  105  143  115  130  181  170  139  128  284  246  186  225  214  153  140 
#6  507  297  274  419  368  354  255  179  176  130  108  123  125  114  131  163  147  136  296 1264 1203  458  964  591 
#7  867  577  346  286  444  428  462  277  217  303  271  295  199  184  126   68  142  138  168  311  330  258  187  137 
# Min value.: 0.09864897760467381
# Max value.: 0.9235764235764236
# Conf. Int.: 0.98
# Mean......: 0.54
# Median....: 0.52
# Stand. Dev: 0.19
