var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.93 0.90 0.91 0.85 1.00 1.00 0.92 
2 1.00 0.99 0.67 0.57 0.52 0.41 0.34 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.90 0.55 0.69 0.38 0.26 0.07 0.11 0.06 0.04 0.10 
3 0.05 0.04 0.12 0.25 0.18 0.10 0.08 0.21 0.05 0.40 0.66 0.31 0.40 0.57 0.34 0.34 0.41 0.24 0.05 0.03 0.02 0.01 0.09 0.04 
4 0.01 0.06 0.03 0.08 0.01 0.09 0.03 0.19 0.54 0.46 0.32 0.10 0.36 0.24 0.01 0.04 0.07 0.01 0.02 0.07 0.10 0.04 0.09 0.02 
5 0.04 0.08 0.04 0.10 0.06 0.04 0.23 0.12 0.33 0.22 0.47 0.23 0.14 0.06 0.01 0.00 0.05 0.02 0.00 0.01 0.04 0.00 0.00 0.01 
6 0.02 0.02 0.02 0.00 0.03 0.02 0.01 0.07 0.16 0.13 0.03 0.07 0.10 0.10 0.05 0.04 0.01 0.01 0.00 0.00 0.00 0.01 0.11 0.06 
7 0.06 0.44 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.47 0.16 0.12 0.09 0.84 0.86 0.88 0.87 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1 1071 1054  963  856  778  732  672  639  541  478  442  389  394  336  367  536  523  565  514  446  407  350  292  265 
#2  183  145  545  535  478  452  378  318  258  211  207  189  272  262  353  470  291  377  318  329  396  299  288  816 
#3  780  737  722  702  636  576  490  365  317  314  235  311  329  292  312  287  253  244 1031 1076 1034  953  884  853 
#4  806  754  667  631  581  510  468  390  331  294  234  175  143  296 1269 1209  483 1193 1250 1097 1012  932  893  884 
#5  776  711  634  572  495  438  388  315  255  218  303  367  384  645  631  595  964 1286 1206 1134 1112 1026  930  905 
#6  877  785  727  677  598  543  441  332  324  264  243  241  251  309 1563 1505 1446 1388 1332 1274 1213 1151 1092 1030 
#7  972  910  848  788  729  670  611  549  489  431  372  313  252  194  137   78  629 1416 1397 1328 1326 1222 1129 1067 
# Min value.: 8.244023083264633E-4
# Max value.: 1.0
# Conf. Int.: 0.95
# Mean......: 0.41
# Median....: 0.20
# Stand. Dev: 0.41
