var   0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 9 11 12 10 11 11 10 10 12 10 11 12 12 12 12 12 12 12 12 12 13 8 10 11 
2 9 9 11 8 10 8 7 7 10 7 10 10 11 12 12 11 11 11 11 12 12 9 9 9 
3 9 9 9 7 8 8 8 7 7 7 7 7 9 8 8 8 9 9 9 10 10 7 7 9 
4 9 9 9 8 8 9 9 9 11 9 9 9 9 9 10 10 9 9 10 11 10 8 10 10 
5 10 10 10 9 10 10 10 10 11 9 9 9 10 13 13 13 13 13 13 13 13 10 10 11 
6 9 9 10 8 8 8 9 10 10 9 9 9 11 11 11 11 11 12 12 12 13 11 12 13 
7 12 13 13 11 13 13 12 11 13 10 12 13 13 13 13 13 13 13 13 13 13 10 11 10 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1   95  129   76  220  142  100   86  130   75  706  636  569  201  168  119  330  270  208  150   90   65  151  117   94 
#2   83  134   78  221  159  102   84  107   68  134  123  173  129   93   68  118   95  167  109   75   69  210  121  101 
#3  103  129   73  226  143  100   63  154   80  445  360  309  132  189  223  156  250  192  133   74   66  345  142  101 
#4  108  136   80  138  111   90  199  172   79  124  360  300  215  149  102   61  261  199  141   81   68  361  194  154 
#5  173  138   87  119   73  102   69  128   80  717  634  574  461  438  372  318  249  191  138   85   63  227  160  128 
#6   85   70   69  198  134   81   67  128   78  591  253  471  169  109  123  231  189  130   89   93   64   84   80   70 
#7   73  120   60  207  114   99   77  134   74  680  575  346  120  111  220  238  210  164  116   89   67  130   77  120 
# Min value.: 7.0
# Max value.: 13.0
# Conf. Int.: 0.98
# Mean......: 10.27
# Median....: 10.00
# Stand. Dev: 1.78
# Range Medi: 8.22-10.00-11.78
