var 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 11 11 12 10 11 11 10 10 13 11 11 12 12 12 12 12 12 12 12 13 13 10 10 13 
2 13 12 11 9 10 9 10 10 13 10 11 10 11 12 12 11 11 11 11 13 12 10 11 11 
3 11 10 10 10 8 9 13 11 13 10 10 11 10 8 8 8 10 10 10 13 13 12 11 12 
4 12 11 11 10 11 10 13 12 13 10 10 10 10 10 10 10 11 10 10 11 13 8 10 10 
5 11 10 10 10 11 11 13 11 13 11 10 10 10 13 13 13 13 13 13 13 13 10 10 11 
6 12 13 13 13 9 12 13 11 13 10 11 10 11 11 11 11 11 12 12 12 13 13 13 13 
7 12 13 13 11 13 13 13 11 13 10 12 13 13 13 13 13 13 13 13 13 13 10 13 10 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1   95  111   77  210  121   99   77  115   75  666  590  522  181  144  111  322  265  200  145   79   63  145  111   80 
#2   70  123   68  211  150  100   83  107   67  134  123  133  119   90   62  109   83  167  101   73   67  201  117  101 
#3  100  129   47  200  122   97   63  144   77  350  322  300  112  181  214  147  223  190  131   73   65  340  140   87 
#4   98  126   65  111   97   89  193  129   69  124  320  290  215  146  100   61  246  190  141   80   67  345  183  130 
#5  122  116   75   99   73   87   68  121   74  717  600  540  411  430  354  299  212  183  137   82   63  220  155  112 
#6   76   61   69  190  113   82   68  121   71  591  236  466  119   93  111  212  165  122   80   90   64   80   80   70 
#7   70  102   69  200  114   99   70  132   70  655  557  340  110  103  200  224  189  116  115   89   67  122   76  119 
# Min value.: 7.0
# Max value.: 13.0
# Conf. Int.: 0.98
# Mean......: 10.27
# Median....: 10.00
# Stand. Dev: 1.78
# Range Medi: 8.22-10.00-11.78
