var   0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 11 13 13 13 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 
2 11 10 10 10 10 10 10 11 13 13 13 12 12 12 12 12 10 10 10 10 10 10 10 11 
3 11 11 11 11 11 11 10 11 11 12 11 11 11 11 11 11 11 11 11 11 11 11 11 11 
4 11 11 11 11 11 11 12 12 11 11 11 11 11 11 11 11 11 12 12 12 11 11 11 11 
5 11 10 11 13 10 9 9 9 9 9 9 10 11 12 12 11 11 11 11 11 11 11 11 12 
6 12 12 12 12 12 12 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 13 13 13 
7 13 12 12 12 11 12 12 12 12 12 12 11 12 11 11 11 11 11 11 12 12 12 12 12 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  263  203  143   83 1251 1191 1176 1090 1042  970  891  831  460  723  670  610  576  694  636  576  514  456  395  315 
#2  280  569  349  256  404  363  313  255  195  135   92  276  215  155   96   71  585  524  465  402  344  284  233  173 
#3  114  338  348  309  253  193  157  159  119   80  888  820  664  700  649  794  756  674  614  588  516  480  420  353 
#4  343  304  224  184  215  175  117  167  158  100  192  390  333  295  238  245  187  130   74   62  394  334  297  223 
#5  163  184  247  195  500  472  425  434  374  314  182  117  188  133  126  742  687  627  572  512  447  387  599  539 
#6  461  293  223  323  238  206  172  252  410  350  317  415  355  276  235  192  135  284  424  364  300  252  188  128 
#7  109  619  558  498  446  391  333  289  229  159  113  800  494  685  852  795  735  680  612  555  500  438  378  318 
# Min value.: 9.0
# Max value.: 13.0
# Conf. Int.: 0.98
# Mean......: 11.29
# Median....: 11.00
# Stand. Dev: 0.93
# Range Medi: 10.07-11.00-11.93
